Station;Latitude;Longitude;depth;si;no3;po4;T;so;O2;aou;o2s
89_SUR;-57.7338;-67.1084;5;1.544357538;17.30057526;1.325159192;6.000989914;33.93275094;7.095698833;-0.205305442;102.979248
90_SUR;-39.6466;-76.9634;5;2.695636034;1.952560425;0.380038977;16.74800873;33.77043181;5.69499588;-0.207393155;103.6463623
91_SUR;-34.161;-73.0995;5;6.432961464;8.062327385;0.987609208;16.6104908;34.11176038;5.626216888;0.284010828;95.57276917
92_SUR;-33.6895;-71.998;0;3.916875279;5.505109629;0.873225632;17.77252007;34.17725511;5.469516482;0.071641068;98.98343353
93_SUR;-34.0614;-73.1066;5;4.645619392;5.251772881;0.36115402;17.31430054;34.1108942;5.279792786;0.415434808;92.79760742
93_DCM;-34.0614;-73.1066;30;6.488171577;24.03486061;0.353522062;15.96260929;;4.392698288;1.52664566;74.92767334
94_SUR;-32.7971;-87.0693;5;1.144688606;0.215131447;0.236063659;21.71788979;34.76711287;5.078255177;-0.118511513;102.3859787
94_DCM;-32.7971;-87.0693;60;1.049865603;0.188173965;0.229514584;16.91329002;;5.936377525;-0.509570062;109.406517
95_SUR;-31.4328;-93.9583;5;0.739127636;0.087512434;0.210336715;22.52370071;35.04786126;4.991308212;-0.159505427;103.2052307
95_DCM;-31.4328;-93.9583;150;0.805888951;1.091113091;0.592130661;15.70969009;;5.367477894;0.206172243;96.31272888
96_SUR;-29.7238;-101.1604;5;0.50019592;0.130717039;0.129489735;24.25470924;35.60775785;4.989005566;-0.140382349;102.9057541
96_DCM;-29.7238;-101.1604;155;1.086301088;0;0.175267234;17.57990074;;5.405995846;-0.004558041;100.0563812
97_SUR;-28.1698;-107.3833;5;0.288636416;0.040744271;0.115355507;24.58060074;35.82722878;4.89719677;-0.092037298;102.0176392
97_DCM;-28.1698;-107.3833;185;0.886137664;0.378979743;0.192584455;17.9829998;;5.206920624;0.16594997;96.9512558
98_SUR;-25.8051;-111.7202;2;1.03495574;0.001039441;0.137548178;24.98990059;36.31221008;4.835336208;-0.096829504;102.0081635
98_DCM;-25.8051;-111.7202;175;0.786036968;0.01753936;0.196843445;19.32010078;;5.202431679;0.185887486;96.5607605
99_SUR;-21.146;-104.787;5;0.889294386;0.063573644;0.246719137;24.37891006;36.21005941;4.958198547;-0.183842838;103.8557663
99_DCM;-21.146;-104.787;150;1.141152501;0.023927962;0.192927986;20.20570946;;5.191117764;-0.03388514;100.734848
100_SUR;-13.0023;-95.9759;2;2.205244303;5.9670434;0.711965382;25.3484993;35.75231171;4.889773369;-0.145743459;103.0471344
100_DCM;-13.0023;-95.9759;180;12.59607792;18.51773262;1.934085846;13.56770039;;2.265983582;3.408457518;42.32268524
102_SUR;-5.2529;-85.1545;5;4.750909805;5.850003719;0.68113482;25.93959999;34.88896495;4.801623344;-0.085187756;101.7860947
102_DCM;-5.2529;-85.1545;40;9.329957962;13.3312912;1.464912415;19.37559128;;2.954586029;2.206604481;59.60393524
103_SUR;-1.5058;-84.5793;5;7.056472778;7.762021065;0.731547177;24.16959953;34.51498286;4.535152435;0.30632481;93.67577362
103_DCM;-1.5058;-84.5793;40;13.33047485;18.30340767;1.544280529;22.01029015;;2.989242554;2.25202632;57.69378662
104_SUR;0.9948;-84.5866;5;5.555053711;4.956620693;0.593872726;25.83309937;33.99966713;4.59063673;0.156452;96.76599884
104_DCM;0.9948;-84.5866;40;11.68662834;15.92881966;1.379313588;22.52560997;;3.242821932;1.954675674;62.70643234
106_SUR;-0.0283;-84.5862;5;6.379584312;6.566504955;0.673256397;25.01030922;34.26634211;4.549370766;0.249484658;94.81736755
106_DCM;-0.0283;-84.5862;50;14.8888979;19.75414467;1.620048642;21.02499008;;2.7272892;2.624403715;50.98166656
109_SUR;1.9928;-84.5766;5;4.649108887;3.226651669;0.502461016;26.62158966;33.74091134;4.654529095;0.029068733;99.47792053
109_DCM;1.9928;-84.5766;30;6.785172462;8.487381935;0.883214235;24.61898994;;4.201179028;0.728002071;85.6361084
110_SUR;-2.0133;-84.589;5;7.514557362;8.363668442;0.764049947;23.41570091;34.72154983;4.537312031;0.337810606;93.10491943
110_DCM;-2.0133;-84.589;50;15.11362457;20.98062515;1.601366162;19.95598984;;2.460227966;2.892735481;46.69874954
111_SUR;-16.9601;-100.6335;5;0.933684051;2.961229086;0.517644644;23.68040085;35.93108825;4.868647575;-0.061612688;101.2178955
111_DCM;-16.9601;-100.6335;90;0.343010306;1.286827683;0.605623007;21.14549065;;5.079496384;0.080029324;98.15084839
112_SUR;-23.2811;-129.3947;5;0.555998206;0.003985463;0.23297593;24.69330025;36.12676178;4.849676609;-0.150653198;103.1683884
112_DCM;-23.2811;-129.3947;165;1.528342128;0.076540835;0.174213141;20.79349136;;4.816637516;0.270521879;94.57780457
113_SUR;-23.1108;-134.9327;5;0.030107792;0;0.167733401;24.85639954;36.024022;4.812790394;-0.158556581;103.3412552
113_DCM;-23.1108;-134.9327;20;0.546323538;0.021405021;0.180683002;24.65539932;36.024022;4.832664013;-0.152571872;103.2156372
114_SUR;-23.1595;-134.9236;5;0.030107792;0;0.167733401;24.85639954;36.024022;4.812790394;-0.158556581;103.3412552
115_SUR;-23.2317;-134.9611;5;0.030107792;0;0.167733401;24.85639954;36.024022;4.812790394;-0.158556581;103.3412552
116_SUR;-23.2329;-134.9606;5;0.030107792;0;0.167733401;24.85639954;36.024022;4.812790394;-0.158556581;103.3412552
117_SUR;-23.1571;-135.018;5;1.3768332;0.013673636;0.2224029;23.77050018;35.98239013;4.811923504;0.03300212;99.27780151
118_SUR;-23.1571;-135.018;5;1.3768332;0.013673636;0.2224029;23.77050018;35.98239013;4.811923504;0.03300212;99.27780151
119_SUR;-23.0244;-134.9228;5;1.384657264;0.018177014;0.203293815;23.72680092;35.99246282;4.806904793;0.035594992;99.22263336
120_SUR;-23.0242;-134.9232;5;1.384657264;0.018177014;0.203293815;23.72680092;35.99246282;4.806904793;0.035594992;99.22263336
121_SUR;-23.073;-135.018;5;1.3768332;0.013673636;0.2224029;23.77050018;35.98239013;4.811923504;0.03300212;99.27780151
122_SUR;-8.9971;-139.1963;5;1.299270511;3.703070402;0.430146426;27.23250008;35.46627365;4.631213188;-0.409767836;109.0623703
122_DCM;-8.9971;-139.1963;115;2.262314796;2.122466564;0.51905179;24.0573101;;4.499786377;0.358861089;91.75111389
123_SUR;-8.9068;-140.283;5;1.174476862;3.63382411;0.408915102;27.27220917;35.46378538;4.542628288;-0.382117212;108.4575119
123_DCM;-8.9068;-140.283;150;1.147045612;3.232462645;0.526222289;21.96829033;;4.304381847;0.861992061;82.07566071
124_SUR;-9.1504;-140.5216;5;0.477109313;2.377133846;0.499093384;27.12140083;35.60256464;4.689467907;-0.061146189;101.3043823
124_DCM;-9.1504;-140.5216;40;0.620955348;2.271360636;0.423479289;27.05640984;;4.693113327;-0.050528344;101.0706711
125_SUR;-8.9111;-142.5571;5;0.660055757;3.08957386;0.465314865;27.21749115;35.52862196;4.684449196;-0.035942689;100.7675171
126_SUR;-11.9873;-151.05;5;1.291952252;0.879682839;0.394467264;27.71559906;35.79538633;4.673163414;-0.158371001;103.5533295
126_DCM;-11.9873;-151.05;70;1.388062716;0.180118039;0.329342932;27.70919037;;4.507226467;-0.061692886;101.3760757
127_SUR;-6.6499;-152.4243;5;2.982661486;4.431678295;0.607319355;27.76300049;35.52256667;4.797767639;-0.040057309;100.9320831
127_DCM;-6.6499;-152.4243;100;1.311492324;2.978048086;0.539701819;27.54459;;4.538917065;-0.038223039;100.6866074
128_SUR;0.0003;-153.6759;5;2.631564379;1.934191465;0.372575134;26.72280884;35.233515;4.620561123;-0.066781491;101.4616699
128_DCM;0.0003;-153.6759;40;2.326795101;3.072492361;0.422747225;26.65909004;;4.600802422;-0.040893875;100.920517
129_SUR;6.671;-153.0658;5;0.851120591;0.556234717;0.223593593;28.36790085;34.62411315;4.435427189;0.026684571;99.3943634
129_DCM;6.671;-153.0658;80;2.306504726;1.44037354;0.351791888;25.75939941;;4.347728252;0.270850599;94.55744934
130_SUR;11.2723;-152.3711;5;0.053016536;0.030541429;0.276341558;27.65749931;34.4439751;4.504780769;-0.054335762;101.1743393
130_DCM;11.2723;-152.3711;100;10.95105076;12.05887794;1.158662438;17.15370941;;2.97569108;2.212530375;61.04005051
131_SUR;22.7598;-157.9568;5;1.68167603;0.01827612;0.072183676;26.24469948;35.17226445;4.66788578;-0.069814563;101.506546
131_DCM;22.7598;-157.9568;120;1.436314344;0.107393108;0.136297613;22.06118965;;4.739528179;0.2401402;95.21586609
132_SUR;31.5213;-158.9958;5;2.241695404;0.030741543;0.057674255;24.68699074;35.00838098;4.948606491;-0.115212299;102.3047333
132_DCM;31.5213;-158.9958;115;4.453567982;1.79033637;0.342452765;15.8199091;;5.1892066;0.468153775;92.12223816
133_SUR;35.2698;-127.7268;5;1.040859938;0.020082925;0.367001981;17.77570915;33.15785608;5.490878105;-0.00622146;100.0923309
133_DCM;35.2698;-127.7268;45;1.832926273;0.147306561;0.42252934;16.41500092;;5.741737366;-0.055432595;101.0190201
134_SUR;32.7526;-122.0013;5;1.934068441;0.044377431;0.329002082;17.39500999;33.37986385;5.52677536;-0.087725803;101.6073151
135_SUR;32.931;-121.8645;5;1.937799811;0.024046648;0.318394333;17.23209;33.39485134;5.555654049;-0.104585797;101.9080582
